model,train_R2,test_R2,test_MAE,test_RMSE,lift_R2_vs_baseline,MAE_reduction_vs_baseline
Linear Regression,0.85219784580289,0.9058999658872329,2393.8906340599015,4158.299158874367,0.0,0.0
Gradient Boosting,0.8687776600838436,0.9022890328985458,2450.922368616165,4237.332029498347,-0.003610932988687088,-57.03173455626347
Random Forest,0.8770717012581736,0.9024176303318511,2370.2741767586817,4234.542734466451,-0.003482335555381799,23.616457301219725
